code,title,session,career,units,delivery_type
REGN8021,Fundamentals of Quantitative Analysis for Regulators,Autumn Session,Postgraduate,3,Online or In Person
ASIA4001,"Fundamentals of Research Design in Asia-Pacific Culture, History and Languages",First Semester,Undergraduate,12,In Person
STST4001,Fundamentals of Research Design in Security Studies,First Semester,Undergraduate,12,In Person
POGO8097,Fundamentals of child-centred policy-making,,Postgraduate,3,Online or In Person
REGN9021,Fundamentals of quantitative analysis for regulators,Autumn Session,Postgraduate,3,In Person
MGMT8103,Future Analysis,,Postgraduate,3,In Person
ENVS2015,GIS and Spatial Analysis,Second Semester,Undergraduate,6,In Person
ENVS6015,GIS and Spatial Analysis,Second Semester,Postgraduate,6,In Person
ASTR8006,Galaxies,,Postgraduate,6,In Person
ASTR4006,Galaxies,,Undergraduate,6,In Person
ASTR6002,Galaxies and Cosmology,Second Semester,Postgraduate,6,In Person
ASTR3002,Galaxies and Cosmology,Second Semester,Undergraduate,6,In Person
MEAS2006,Gallipoli: A transnational history,,Undergraduate,6,In Person
COMP6540,Game Development,,Postgraduate,6,In Person
COMP3540,Game Development,,Undergraduate,6,In Person
ECON4453,Game Theory,,Undergraduate,6,In Person
ECON8053,Game Theory,,Postgraduate,6,In Person
ECON3152,Game Theory,,Undergraduate,6,In Person
ECON6053,Game Theory,,Postgraduate,6,In Person
POLS3125,Game Theory and Social Sciences,Second Semester,Undergraduate,6,Online or In Person
MATH2301,"Games, Graphs and Machines",Second Semester,Undergraduate,6,In Person
INDG2003,Gamilaraay - introduction to an Australian Indigenous Language,First Semester,Undergraduate,6,Online or In Person
ANTH8038,Gender & Development: Critical Issues in Policy & Practice,,Postgraduate,6,Online or In Person
ANTH8039,Gender & Development: Critical Issues in Policy & Practice (Advanced),,Postgraduate,12,Online or In Person
POGO8230,Gender Analysis in Public Policy,Winter Session,Postgraduate,3,In Person
ASIA2311,Gender and Cultural Studies in Asia and the Pacific,First Semester,Undergraduate,6,In Person
GEND2001,Gender and Cultural Studies in Asia and the Pacific,First Semester,Undergraduate,6,In Person
MEAS2005,Gender and Culture in the Middle East,First Semester,Undergraduate,6,Online or In Person
NSPO8040,Gender and Security,Spring Session,Postgraduate,3,Online or In Person
PASI6008,Gender and Sexuality in the Pacific,Second Semester,Postgraduate,6,In Person
GEND3002,Gender and Sexuality in the Pacific,Second Semester,Undergraduate,6,In Person
PASI3002,Gender and Sexuality in the Pacific,Second Semester,Undergraduate,6,In Person
ANTH6025,Gender in Cross-Cultural Perspective,,Postgraduate,6,In Person
GEND2035,Gender in Cross-Cultural Perspective,,Undergraduate,6,In Person
ANTH2025,Gender in Cross-Cultural Perspective,,Undergraduate,6,In Person
GEND2002,Gender in Korean History,First Semester,Undergraduate,6,In Person
ASIA2006,Gender in Korean History,First Semester,Undergraduate,6,In Person
ASIA6106,Gender in Korean History,First Semester,Postgraduate,6,In Person
ANTH8060,Gender in Resource and Environmental Management,,Postgraduate,6,Online or In Person
LAWS8329,"Gender, Law and Development",,Postgraduate,6,Online or In Person
GEND2023,"Gender, Sex and Sexuality: An Introduction to Feminist Theory",Second Semester,Undergraduate,6,In Person
INTR8064,"Gender, War, and Justice in South and Southeast Asia",,Postgraduate,6,In Person
BIOL2142,General Microbiology,Second Semester,Undergraduate,6,In Person
BIOL6142,General Microbiology,Second Semester,Postgraduate,6,In Person
PHYS3203,General Relativity,Second Semester,Undergraduate,6,In Person
PHYS6203,General Relativity,Second Semester,Postgraduate,6,In Person
STAT8130,Generalised Linear Modelling,First Semester / Second Semester,Postgraduate,6,In Person
STAT4030,Generalised Linear Models,First Semester / Second Semester,Undergraduate,6,In Person
STAT3015,Generalised Linear Models,Second Semester,Undergraduate,6,In Person
